festival;artiest;naam;jaar;ervaring;x;y;aantalStemmen;;;;
Rock Werchter (inclusief Torhout);Daft Punk;Ruud;1997;Het was mijn eerste festival. Op de eerste dag barstte er een wolkbreuk los en de rest van het festival was koud en nat. Als een van de laatste optredes Daft Punk gezien. Toen op een sidestage dansend met twee dagen oude modder, tot op mijn enkels erin, maar wat was het een feest.;1417.7;420.3;3;;;;
Rock Werchter (inclusief Torhout);Editors;Marit;2013;Ze waren de afsluiter dus we stonden met 60000 man voor de mainstage. Ze gaven een geweldige show, compleet met vuurwerk. Iedereen ging helemaal los inclusief de band.;1417.8;420.4;3;;;;
Rock Werchter (inclusief Torhout);Editors;Brian;2012;Eerste festival, ik was net 18, kende alleen Pappillon, ging dus redelijk blanco dat optreden in en werd helemaal weggeblazen. Ze geven zo'n enorme show, hij zingt loepzuiver. Niet te geloven hoe goed.;1417.9;420.5;3;;;;
Rock Werchter (inclusief Torhout);Arcade Fire;Bas;2017;Zag ze live op rock Werchter, maar vooral was het het wachtmuziekje tussen de bands door vorige jaar op de wat kleinere festivals. Dan moest Luc bier halen, Michael ging piesen en ik stond dan te wachten en hoorde dan bijna altijd Arcade Fire.;1417.10;420.6;3;;;;
Rock Werchter (inclusief Torhout);David Bowie;Cees Jan de Boer;1997;Helemaal vooraan bij David Bowie. Ik fan van oude Bowie en niet van de jaren negentig platen. Hij was bovendien de ouwe lul tussen een moderne 1997 line up. Maar kom, daarna waren The Chemical Brothers dus waarom ook niet. Hop naar voren en op tijd aan het hek. En toen kwam ie... zelden zoiets gezien. Wat een man! Als de duivel zef stond ie daar. Nog nooit zoveel charisma gezien! Deze man dwong je gewoon naar hem te kijken en op je als een religieuze ervaring op de knietjes te gaan. Alleen maar hoe hij er stond. Laat de muziek maar zitten en ademloos zitten kijken;1417.11;420.7;1;;;;
Rock Werchter (inclusief Torhout);Foo Fighters;Ellen;2017;Het was superlekker weer, het bier was goed, ik stond er met mn vriend en een paar van zijn collega's bijna helemaal vooraan. Het was episch. Bizar goed hoe ze het hele publiek meekregen en ieder bandlid zo zat te knallen. Er komt zoveel energie van ze af, zelfs de grootste chagerijn uit het publiek krijgen ze mee. Het was rond etenstijd, iedereen had honger en moest plassen, maar iedereen bleef tot het einde.;1417.12;420.8;5;;;;
Rock Werchter (inclusief Torhout);Iggy Pop;Eva;2016;Ik wist uberhaupt niet of hij het ging redden tot het einde van het optreden, hij ging er zo vol in. Uiteindelijk is hij van het podium afgedragen.;1417.13;420.9;1;;;;
Rock Werchter (inclusief Torhout);Kings of Lion;Danielle;2009;Altijd ruig en vol energie, niet lullen maar poetsen.;1417.14;420.10;1;;;;
Rock Werchter (inclusief Torhout);Limp Bizkit;Anha;2010;geen ervaring gedeeld;1417.15;420.11;3;;;;
Rock Werchter (inclusief Torhout);Mumford and son;Julia;2012;Hoofdpodium, eind van de avond, zonnetje zakt langzaam naar beneden achter het podium, hele volle weide met mensen die allemaal enthousiast meedoen. Alleen Marcus Mumford had die zomer zijn hand gebroken en kon nu niet meedoen. Beetje verloren zonder zijn gitaar, maar de band kreeg alsnog het publiek mee. Iedereen was een beetje aangeschoten en zong keihard mee.;1417.16;420.12;4;;;;
Rock Werchter (inclusief Torhout);Passenger;Marcella;2017;Het was in de barn, het overdekte podium, was wat intiemer, hij kan leuk vertellen voordat hij gaat zingen. Hij vertelde over zijn straatmuzikanten leven, wat hem gelukkig maakte. Door al het reizen miste hij ook heel veel. Hij vroeg aan het publiek: wat maakt jou nou gelukkig?. Ik ga al jaren naar werchter, maar dit jaar was ik net geopereerd aan mijn heup en dit was het eerste festival waar ik zonder pijn kon genieten van de muziek. Ik moest eraan denken, en bedacht me 'wat een mooi moment eigenlijk' en werd een beetje emotioneel toen hij begon met spelen. Maar ik was met een groep vriendinnen dus probeerde het een beetje te verbergen, recht vooruit blijven kijken, voorzichtig met je hand het traantje wegpinken. Maar toen het nummer was afgelopen en ik om me heen keek zaten al mijn vriendinnen ook te janken.;1417.17;420.13;2;;;;
Rock Werchter (inclusief Torhout);Patrick Watson;Jerry Vermanen;2008;Rock Werchter had destijds 2 podia: een grote (waar metalband Slayer speelde) en een kleine, waar Patrick Watson zou optreden. Ik houd niet van metal, dus Slayer viel af. Ik kende Watson ook nog niet, dus het zou een verrassing worden. Als je Watson kent: het is redelijk kalme muziek. Dus terwijl ik een van mijn huidige favoriete artiesten op een festival tegenkwam, galmde op het grote podium daarnaast de metal-ellende van Slayer. Een van mijn mooiste muziekherinneringen.;1417.18;420.14;1;;;;
Rock Werchter (inclusief Torhout);Prince;Joost Broerse;2010;Rock Werchter 2010, een bloedhete dag met tropische temperaturen, broeierig warm met 32 graden Celcius. Naast allerlei andere artiesten gingen wij voor Prince, waarvoor wij sinds 1990 al heel Europa afreisden. Mensen stroomden toe van alle kanten toen Prince, veel vroeger dan aangekondigd, rond half tien al begon. Ook al was het grote veld nog maar halfvol, de sfeer werd meteen gezet: 'Let's go crazy', '1999', waarop 'Little red Corvette' en 'Controversy' volgden. Onze toen nog ‘living legend’ was in topvorm. Prince zette nog 'Hot summer' in, waarna een gigantisch onweer losbrak tijdens het concert en een abrupt einde kwam aan de verstrengende hitte. Knallende bliksem langs alle kanten en een stortbui die zijn gelijke niet kent dwongen ons te schuilen op de schaarse plekjes die held veld biedt. Hét sein om 'Purple rain' naar voren te brengen in de set - een magisch moment, met een lichtshow van Moeder Natuur. 'The rain has gone', riep Prince, maar nauwelijks waren zijn woorden koud of de regen viel met bakken uit de lucht. Het maakte van 'Purple Rain' een wonderlijk, haast magisch moment. Zo wordt muziek nooit meer gemaakt! ';1417.19;420.15;1;;;;
Rock Werchter (inclusief Torhout);Radiohead;Esm√©e;2017;Vooraan staan en dan het hele publiek Karma police horen zingen: ‚Äòfor a minute there, I lost myself, I lost myself‚Äô;1417.20;420.16;1;;;;
Rock Werchter (inclusief Torhout);Smashing Pumpkins;Hilje;1997;Ik werd uitgedaagd om te crowdserven, stond helemaal achteraan, kreeg een voetje, crowservend tot vlak voor de beveiliging, stond ik ineens met mijn neus vooraan bij deze legendarische band.;1417.21;420.17;1;;;;
Rock Werchter (inclusief Torhout);Stromae;Fieke;2014;geen ervaring gedeeld;1417.22;420.18;3;;;;
Rock Werchter (inclusief Torhout);The Opposites;Fieke;2014;Thunder!;1417.23;420.19;1;;;;
Rock Werchter (inclusief Torhout);Vampire Weekend;Rens;2013;De hele weide ging los op het he he he moment. Dat is springen en dat is leuk!;1417.24;420.20;1;;;;
Sziget;Florence and the Machine;Maud;2015;Mijn vriendinnen vonden het al snel prima, maar ik bleef swingen op de muziek. Ik had haar nooit eerder live gezien maar was meteen verkocht;1157;591.2;1;;;;
Sziget;Hurts;Wijnand;2012;Net voordat de zon onderging, het was al dagen droog, het grasveld was binnen een week een sahara vol stuifzand geworden. Ik kwam het veld van de mainstage oplopen en liep door de stofwolk en kon het podium nog niet zien, maar hoorde al 'wonderfull life', dat was een magisch moment.;1157;591.3;1;;;;
Sziget;M83;Alex;2016;Eerste keer Sziget, ik keek heel erg uit naar die dag, o.a. Muse stond op de planning, hadden we allemaal al achter de rug. Het was een beetje een lome dag, je gaat een beetje lopen over het festival terrein zonder een duidelijk plan en tegen het einde van de avond kwamen we in de A38 tent, een hele donkere tent, er begon iets te spelen, ik had geen idee. Ze hadden geen spotlight op zichzelf, er kwam alleen licht van achter dus je zag alleen silhouetten. Het sprak me aan, de mysterie.;1157;591.4;1;;;;
Sziget;Noel Gallagher;Mike;2016;Ik stond in de bloedhoere hitte vooraan bij de main stage, omringd door dronken Britten. Hij speelde een strakke set, maakte weinig woorden vuil aan interactie met het publiek op een sneer naar Rianna Catwalk na. Misschien niet het beste concert ooit, maar don't look back in anger was echt het mooiste festival moment ooit.;1157;591.5;1;;;;
Sziget;Tame Impala;Peter;2013;Ze stonden in een bijna lege tent terwijl David Guetta op de main stage stond. De misschien 100 man die wel bij Tame Impala stonden gaven als encore: Fuck David Guetta. 10 minuten lang. Beste live festival act die ik ooit live heb gezien.;1157;591.6;2;;;;
Sziget;Tom Odell;Dylan;2017;Sziget Tom Odell = eargasm;1157;591.7;2;;;;
Pukkelpop;Bear's Den;Luuk;2016;Ze kwamen na Muford and Sons en als ik ze nu hoor ben ik direct terug op dat festival.;1403.9;525.5;1;;;;
Pukkelpop;Black Keys;Lotte;2012;Hou van die scheurende gitaren.;1403.10;525.6;1;;;;
